municipio;ano;total_vitimas_ano
ACEGUA;2020;3
ACEGUA;2021;0
ACEGUA;2022;1
ACEGUA;2023;0
AGUA SANTA;2020;2
AGUA SANTA;2021;3
AGUA SANTA;2022;0
AGUA SANTA;2023;0
AGUDO;2020;8
AGUDO;2021;2
AGUDO;2022;1
AGUDO;2023;0
AJURICABA;2020;0
AJURICABA;2021;0
AJURICABA;2022;0
AJURICABA;2023;1
ALECRIM;2020;1
ALECRIM;2021;2
ALECRIM;2022;1
ALECRIM;2023;0
ALEGRETE;2020;29
ALEGRETE;2021;23
ALEGRETE;2022;31
ALEGRETE;2023;23
ALEGRIA;2020;0
ALEGRIA;2021;1
ALEGRIA;2022;0
ALEGRIA;2023;0
ALMIRANTE TAMANDARE DO SUL;2020;0
ALMIRANTE TAMANDARE DO SUL;2021;0
ALMIRANTE TAMANDARE DO SUL;2022;0
ALMIRANTE TAMANDARE DO SUL;2023;0
ALPESTRE;2020;1
ALPESTRE;2021;3
ALPESTRE;2022;4
ALPESTRE;2023;2
ALTO ALEGRE;2020;0
ALTO ALEGRE;2021;0
ALTO ALEGRE;2022;0
ALTO ALEGRE;2023;0
ALTO FELIZ;2020;0
ALTO FELIZ;2021;1
ALTO FELIZ;2022;0
ALTO FELIZ;2023;0
ALVORADA;2020;113
ALVORADA;2021;49
ALVORADA;2022;63
ALVORADA;2023;32
AMARAL FERRADOR;2020;0
AMARAL FERRADOR;2021;1
AMARAL FERRADOR;2022;0
AMARAL FERRADOR;2023;0
AMETISTA DO SUL;2020;2
AMETISTA DO SUL;2021;0
AMETISTA DO SUL;2022;4
AMETISTA DO SUL;2023;1
ANDRE DA ROCHA;2020;0
ANDRE DA ROCHA;2021;0
ANDRE DA ROCHA;2022;0
ANDRE DA ROCHA;2023;0
ANTA GORDA;2020;1
ANTA GORDA;2021;1
ANTA GORDA;2022;0
ANTA GORDA;2023;1
ANTONIO PRADO;2020;2
ANTONIO PRADO;2021;6
ANTONIO PRADO;2022;3
ANTONIO PRADO;2023;1
ARAMBARE;2020;1
ARAMBARE;2021;1
ARAMBARE;2022;0
ARAMBARE;2023;0
ARARICA;2020;1
ARARICA;2021;1
ARARICA;2022;1
ARARICA;2023;1
ARATIBA;2020;2
ARATIBA;2021;4
ARATIBA;2022;0
ARATIBA;2023;0
ARROIO DO MEIO;2020;1
ARROIO DO MEIO;2021;2
ARROIO DO MEIO;2022;0
ARROIO DO MEIO;2023;2
ARROIO DO PADRE;2020;0
ARROIO DO PADRE;2021;2
ARROIO DO PADRE;2022;0
ARROIO DO PADRE;2023;0
ARROIO DO SAL;2020;2
ARROIO DO SAL;2021;6
ARROIO DO SAL;2022;5
ARROIO DO SAL;2023;3
ARROIO DO TIGRE;2020;2
